ID,Is_Lead
VBENBARO,0.03097555600106716
CCMEWNKY,0.3130508065223694
VK3KGA9M,0.08990918099880219
TT8RPZVC,0.04125509038567543
SHQZEYTZ,0.032248739153146744
MZZAQMPT,0.31917062401771545
Y88TW36I,0.21380412578582764
3UGOAQNU,0.06963115185499191
VVUKMUJT,0.9893977046012878
9R363ZXS,0.15129008889198303
BLISM6JE,0.07434593886137009
CH8S7JK7,0.24388200044631958
EAHDPXEJ,0.34174948930740356
BNUK9PRF,0.35888099670410156
GP2PG6FJ,0.07385526597499847
WNQCSN8A,0.04753090441226959
32DN4YVZ,0.21509064733982086
GXAMDANM,0.07335333526134491
MXETLUP4,0.3413861095905304
MPXK6TVE,0.6068620681762695
LBSIME2K,0.33825039863586426
D6ORJTM6,0.06981025636196136
HGDIBAKA,0.41392195224761963
UUZYL9DZ,0.4825946092605591
AUGE3VWK,0.07716040313243866
MX7GOX6Q,0.3713025748729706
TQN6K35W,0.151323601603508
QQDRMQQN,0.4117845296859741
UP6GC6F4,0.14527517557144165
BMHBUVHB,0.5018751621246338
KGLDW86A,0.3324572443962097
FQEOMOP4,0.07776853442192078
DYWM5MEU,0.1812671720981598
DXHGXV8F,0.08730964362621307
AVFBFQKC,0.1506940722465515
DBIDKYMV,0.4619744122028351
KYZHMEBY,0.2767069935798645
SSFEBUGF,0.07292322814464569
MGJTAG8X,0.2944093346595764
MP6BERDO,0.09807264804840088
GXZ8ED68,0.0788845419883728
ICTFGWQR,0.7052727937698364
EAYHTRKH,0.06794565171003342
6FN97QLQ,0.051233842968940735
3H5MZDDW,0.21094995737075806
2DXZZWSN,0.16048315167427063
MM4QIRE5,0.3175027370452881
HJWVYXUA,0.08122684061527252
RBRSJUP3,0.1938624531030655
YFRQKGXW,0.3914041817188263
N3SADEBV,0.1619003713130951
G2A2YYXY,0.053879640996456146
XMGA3WT3,0.20721982419490814
KVZQPSGI,0.5249519944190979
UAKARBBG,0.05779269337654114
WYKKL85Z,0.19159892201423645
GHNYYGRR,0.07185272872447968
UBAJANWT,0.060741208493709564
LSARSF7U,0.02959376387298107
4CNSJVVR,0.2239573895931244
JRHJSWYO,0.37022554874420166
FHZ8SVVI,0.18261019885540009
JUIRE47M,0.07301099598407745
GDIVN2GL,0.1531522125005722
WMF3DYE3,0.5244458913803101
MAQEHEWK,0.17363986372947693
2W8DLKFU,0.21118494868278503
AKGRML6H,0.07637685537338257
B7WUUGCY,0.10639452189207077
TLJOYATM,0.4673486351966858
UH6ZDM3W,0.1238250732421875
7IP5SSRR,0.8472373485565186
PV85PMEB,0.6644158363342285
FGDOY4NI,0.13364484906196594
7YYIXJQE,0.19317439198493958
BHW42XPW,0.3188997507095337
3PKEEAT4,0.3818609118461609
ACFPZ3LM,0.07721075415611267
6GORGNYN,0.25145208835601807
AEPQTMJK,0.23115481436252594
S6FNZFKK,0.056575603783130646
JTYNEKRQ,0.7848532199859619
GPXDPHHC,0.17420926690101624
O8TMKNNB,0.24045264720916748
XSQVHKYG,0.0687028095126152
MJ3CZRAE,0.027468115091323853
3NSQEYBJ,0.672630786895752
SXVBASGH,0.06631205976009369
5ZIGZYSS,0.10066458582878113
FQSHBCUT,0.22186994552612305
MU45XUBP,0.18320398032665253
BVULDPBI,0.15151622891426086
82GRNPFG,0.17222586274147034
KKBNELBF,0.06030390039086342
HXQGBDGY,0.0559580959379673
28HDZICG,0.44013452529907227
GHBPKPJC,0.059086404740810394
FDWZFSSC,0.2134348452091217
FWTIWZF3,0.056740809231996536
JYMHVPMY,0.1197686642408371
AHUDO2T6,0.2879074215888977
ACDHABS3,0.2924042046070099
5NTYJJDV,0.29463639855384827
2M4VPY4V,0.2684023678302765
KAHP9XLF,0.28255417943000793
YRLEWZFQ,0.2568817436695099
JZWVLXHJ,0.08035482466220856
JZZSXUKT,0.2914421558380127
93RURE2J,0.3159979581832886
4RNB6FDV,0.5624924898147583
27E7HMMG,0.056527599692344666
2QEFQQWN,0.08756212890148163
DDTCD2XI,0.3315054178237915
VGVEYSEG,0.27430999279022217
WCXVE7RK,0.15604931116104126
RTN4R3UE,0.0541350394487381
K2PVS4RB,0.06786942481994629
Q36J686Z,0.26495328545570374
NWKHMEOF,0.3965078592300415
PVJYQQGT,0.3156408667564392
GPUMRNWC,0.0641310065984726
LXHCDSVH,0.4213266372680664
BNIUPSVK,0.2735339105129242
FW3QI3WW,0.19365382194519043
IEEUGXMY,0.07749093323945999
FVVXDLBO,0.08123788237571716
UC2JJB6Y,0.262575626373291
3WPAHP52,0.5991523265838623
HDTCJJOE,0.4322001338005066
UCSB9GKK,0.298134982585907
HANBFYTH,0.14598432183265686
FLUU2HNV,0.0841960534453392
64PIYWDJ,0.10638629645109177
9AHNH8ZX,0.23730506002902985
KLHUI2SE,0.3212553858757019
YRHYUJFW,0.503458559513092
G5RWWH7F,0.18371832370758057
SCBT9BAX,0.02578018046915531
UGZGLVNB,0.33742207288742065
2RRNUFBV,0.4324168264865875
B6O59TEY,0.6507158279418945
CYHRRYH6,0.12951575219631195
GGYZVHWU,0.3148227632045746
K6AM97RN,0.29593467712402344
ATM5JQYM,0.20419220626354218
7GYZSGWA,0.06623592972755432
DFWUDQCR,0.15917515754699707
E2Z98CR3,0.20084784924983978
GD9KTSLY,0.08250764012336731
2AMRA4OD,0.06336434930562973
CFHZ3ZE6,0.36634695529937744
BOMLVM5K,0.09268748015165329
OBBEGBSY,0.46190690994262695
FJEHOK8W,0.04656374081969261
3GMAEVPJ,0.09653626382350922
WAVDLUTH,0.08108238875865936
6EN8GZX6,0.32040274143218994
VXGA3GKB,0.31482750177383423
U4MZ3U8C,0.5320459604263306
GU4RDP8S,0.32442358136177063
N3TPNHCD,0.07007257640361786
JRRHWQC8,0.3258848190307617
